SKU,Qty,Amount,% of Sales,Avg Price
LG04 (LG04 - Custom PVC Luggage Tag),5480.0,16002.06,0.1%,2.92
LG05 (LG05 - Custom PVC Keychain),31544.0,63829.16,0.3%,2.02
LG06 (LG06 - Round Badge Reel with Epoxy Dome Logo.),500.0,520.0,0.0%,1.04
LG08 (LG08 - Custom PVC Zipper Pull),500.0,810.0,0.0%,1.62
LS01-BLACK (LS01 - Luggage Scale - Black LED Scale for weighing your luggage or o...,1558.0,6029.46,0.0%,3.87
LY-SPECIAL (LY-SPECIAL -Special Order Lanyards.),3050.0,7632.0,0.0%,2.5
"LY1002 (LY1002 - 3/4"" PET Recycled lanyard with step and repeat logo.   Standard ...",1600.0,1424.0,0.0%,0.89
"LY101 (LY101 - 1"" Polyester lanyard with Step and Repeat imprint.  Standard J Cli...",8950.0,6091.8,0.0%,0.68
"LY102 (LY102 -  3/4"" Polyester lanyard with Step and Repeat imprint.  Standard J ...",49051.0,38796.8,0.2%,0.79
"LY103 (LY103 - 5/8"" Polyester lanyard with Step and Repeat imprint.  Standard J C...",17542.0,9003.29,0.0%,0.51
"LY104 (LY104 - 3/8"" Polyester lanyard with Step and Repeat imprint.  Standard J C...",7850.0,3899.0,0.0%,0.5
"LY1202 (LY1202 - 3/4"" Bamboo Fiber lanyard with step and repeat logo.   Standard ...",350.0,350.0,0.0%,1.0
"LY1203 (LY1203 - 5/8"" Bamboo Fiber lanyard with step and repeat logo.   Standard ...",850.0,970.0,0.0%,1.14
"LY1401 (LY1401 -1"" Wide Adjustable Polyester Dog Collar)",650.0,2016.0,0.0%,3.1
"LY1501 (LY1501 -1"" Wide Adjustable Polyester Dog Collar)",100.0,266.0,0.0%,2.66
"LY1801 (LY1801 -1"" Sublimated Wrist Lanyard with split ring keyring  )",14150.0,7031.0,0.0%,0.5
"LY1802 (LY1802 -3/4"" Sublimated Wrist Lanyard with split ring keyring  )",3000.0,1485.0,0.0%,0.5
"LY201 (LY201 - 1"" Polyester with Sublimation print.  Standard J Clip attachment.)",15905.0,12764.95,0.1%,0.8
"LY202 (LY202 -  3/4"" Polyester with Sublimation print.  Standard J Clip attachment.)",130252.0,76810.83,0.4%,0.59
"LY203 (LY203- 5/8"" Polyester with Sublimation print.  Standard J Clip attachment.)",11850.0,5931.0,0.0%,0.5
"LY204 (LY204- 3/8"" Polyester with Sublimation print.  Standard J Clip attachment.)",501.0,354.5,0.0%,0.71
"LY303 (LY303- 5/8"" Tubular lanyard with step and repeat logo.  Standard J Clip at...",250.0,172.5,0.0%,0.69
"LY304 (LY304-  3/8"" Tubular lanyard with step and repeat logo.  Standard J Clip a...",6900.0,3204.0,0.0%,0.46
"LY401 (LY401 - 1"" Polyester lanyard  with Sublimation lanyard on top.  Standard J...",3700.0,5519.0,0.0%,1.49
LY70-WHITE (LY70- Cable Lanyard - White Woven lanyard with Micro / lightning comb...,350.0,1260.5,0.0%,3.6
"LY702 (LY702 - 3/4"" Nylon lanyard with step and repeat logo.  Standard J Clip att...",4130.0,4266.8,0.0%,1.03
