,"Jan 1, '24 - Feb 18, 25"
,"Qty","Amount","% of Sales","Avg Price"
"20-3008-1044 (10.1"" Frameless BrightSign Built-In 1280x800)",10,3870.00,0.0%,387.00
"20-3008-1045 (10.1"" Frameless BrightSign Built-In  PoE+ 1280x800)",51,21009.00,0.1%,411.94
"20-3008-1048 (11.6"" Frameless BrightSign Built-In PoE 1920x1080)",30,14118.00,0.1%,470.60
"20-3008-1049 (11.6"" Frameless BrightSign Built-In Capacitive Touch PoE 1920x1080)",12,5952.00,0.0%,496.00
"20-3008-1051 (13.3"" Frameless BrightSign Built-In PoE 1920x1080)",25,12016.36,0.1%,480.65
"20-3008-1053 (15.6"" Frameless BrightSign Built-In PoE 1920x1080)",44,20184.00,0.1%,458.73
"20-3008-1054 (15.6"" Frameless BrightSign Built-In Capacitive Touch PoE 1920x1080)",10,4688.00,0.0%,468.80
"20-3008-1057 (21.5"" Frameless BrightSign Built-In PoE+ 1920X1080)",10,5860.00,0.0%,586.00
"20-3008-1058 (21.5"" Frameless BrightSign Built-In  Capacitive Touch PoE+ 1920X1080)",22,13215.00,0.1%,600.68
"20-3008-1064 (27"" Frameless BrightSign Built-In  Capacitive Touch PoE+ 1920x1080)",2,1812.00,0.0%,906.00
"20-3008-1066 (32"" Frameless BrightSign Built-In Capacitive Touch 1920x1080)",21,13423.00,0.1%,639.19
"20-3008-1068 (32"" Frameless BrightSign Built-In Capacitive Touch PoE++ 1920x1080)",10,7922.00,0.0%,792.20
"20-3008-1073 (43"" Frameless BrightSign Built-In Capacitive Touch 1920x1080)",1,0.00,0.0%,0.00
"20-3008-1083 (10.1"" Finished BrightSign Built-In 1280x800)",34,14348.00,0.1%,422.00
"20-3008-1084 (10.1"" Finished BrightSign Built-In PoE 1280x800)",82,34822.00,0.2%,424.66
"20-3008-1088 (11.6"" Finished BrightSign Built-In PoE 1920x1080)",1,415.00,0.0%,415.00
"20-3008-1089 (11.6"" Finished BrightSign Built-In Capacitive Touch PoE 1920x1080)",14,6410.00,0.0%,457.86
"20-3008-1091 (13.3"" Finished BrightSign Built-In PoE 1920x1080)",10,5187.00,0.0%,518.70
"20-3008-1093 (15.6"" Finished BrightSign Built-In Capacitive Touch 1920x1080)",4,0.00,0.0%,0.00
"20-3008-1094 (15.6"" Finished BrightSign Built-In PoE 1920x1080)",51,27618.00,0.1%,541.53
"20-3008-1095 (15.6"" Finished BrightSign Built-in, Touch, PoE, 1920x1080)",201,116898.00,0.5%,581.58
"20-3008-1101 (21.5"" Finished BrightSign Built-In Capacitive Touch 1920X1080)",148,80150.00,0.4%,541.55
"20-3008-1103 (23.8"" Finished BrightSign Built-In  Capacitive Touch 1920x1080)",6,4458.00,0.0%,743.00
"20-3008-1104 (23.8"" Finished BrightSign Built-In PoE+ 1920x1080)",14,9856.00,0.0%,704.00
"20-3008-1106 (27"" Finished  BrightSign Built-In 1920x1080)",16,10430.00,0.0%,651.88
"20-3008-1111 (32"" Finished BrightSign Built-in, Touch, 1920x1080)",28,20965.00,0.1%,748.75
"20-3008-1128 (10.1"" Custom Frameless Duco replacement BrightSign Built-In 245x106...",230,76967.00,0.3%,334.64
"20-3008-1129 (10.1"" Custom Frameless BrightSign Built-In BBY 260.4x140mm mounting...",339,122199.00,0.5%,360.47
"20-3008-1134 (24"" UW Finished BrightSign Built-In Touch POE 1920x360)",-1,-640.00,-0.0%,640.00
"20-3008-1148 (10.1"" Countertop BrightSign Built-In Capacitive Touch Portrait Whit...",4,0.00,0.0%,0.00
"20-3008-1149 (10.1"" Countertop BrightSign Built-In Landscape White Housing)",2,441.00,0.0%,220.50
"20-3008-1150 (10.1"" Finished LED BrightSign Built-In Capacitive Touch PoE 1280x800)",130,62872.00,0.3%,483.63
"20-3008-1158 (22"" Finished BrightSign Built-In Square No Glass 1920x1920)",1,918.00,0.0%,918.00
"20-3008-1160 (10.1"" Custom Frameless BrightSign Built-In BOSE-special use 1280x800)",1,0.00,0.0%,0.00
"20-3008-1171 (32"" Finished BrightSign Built-In no glass cover sandwich board 1920...",1,584.00,0.0%,584.00
"20-3008-1172 (32"" Finished BrightSign Built-in, No Glass, 1920x1080)",248,124023.00,0.5%,500.09
"20-3008-1181 (10.1” Countertop BrightSign Built-In, Touch, Landscape, 1280x800)",8,2516.00,0.0%,314.50
"20-3008-1182 (13.3"" Countertop BrightSign Built-In, Touch, Landscape, 1920x1080)",11,3825.56,0.0%,347.78
"20-3008-1190 (37"" UW Finished BrightSign Built-In No Glass 1920x540)",11,9070.00,0.0%,824.55
"20-3008-1197 (10.1” Countertop BrightSign Built-In, Touch, Portrait, 1280x800)",3,1515.00,0.0%,505.00
"20-3008-1199 (8"" Frameless BrightSign Built-In MIPI 800x1280)",1,398.00,0.0%,398.00
"20-3008-1200 (40"" Finished BrightSign Built-In No Glass 1920x1080)",1,790.00,0.0%,790.00
"20-3008-1205 (10.1"" Finished BrightSign Built-In Touch POE+ 1920x1200)",3,1000.00,0.0%,333.33
"20-3008-1209 (10.1"" Frameless BrightSign Built-In Touch 1920x1200)",1,453.00,0.0%,453.00
"20-3008-1216 (21.9"" Custom UW Finished BrightSign Built-In 1920x720)",3,580.00,0.0%,193.33
