,"Jan 1, '24 - Feb 18, 25"
,"Qty","Amount","% of Sales","Avg Price"
"Uncategorized","","",,""
"Inventory","","",,""
"14-2222-0001 (LED MODULE BAR W/ CONNECTORS  )",13000,38160.00,0.2%,2.94
"14-2222-0002 (CONNECTOR, GD 12"" LED STRIP  )",4000,12100.00,0.1%,3.03
"16-0306-0004 (PCB, RELAY, MOSFET & AROMAT CONFIG, ROHS.  )",46,2194.20,0.0%,47.70
"20-0129-0336 (LCD panel, 55"", 3840x2160)",70,27580.00,0.1%,394.00
"20-0130-1267 (610mm 2pin m/f speaker extender wires)",351,526.50,0.0%,1.50
"20-0130-1354 (Cable Mountable USB-A (M<>F) extension cable, 1.5m/4.9 feet USB 2.0)",1517,9065.00,0.0%,5.98
"20-0130-1376 (Molex power cord extender - large connector)",14,15.00,0.0%,1.07
"20-0130-1430 (20"" Molex Extender)",40,30.00,0.0%,0.75
"20-0130-1459 (Molex power cord extender - micro connector Male x Female, 1.6m)",346,1351.00,0.0%,3.90
"20-0130-1483 (Cable 3.5mm Audio Cable, Male/Male, 24"" Wire)",120,0.00,0.0%,0.00
"20-0130-1498 (Cable 5 meter extension cable for micro Molex power adapter, female...",337,1366.00,0.0%,4.05
"20-0130-1509 (micro (BrightSign Built-In) Molex Y splitter into micro molex and b...",481,1494.00,0.0%,3.11
"20-0130-1554 (Molex power cord extender -i connector, Male(4.2mm) x Female(3.0mm)...",308,924.00,0.0%,3.00
"20-0130-1593 (Molex power cord extender - micro connector Male x Female, 99 inches)",142,426.00,0.0%,3.00
"20-0130-1603 (Cable - Power Cable Splitter, Micro molex female to splitter, micro...",250,800.00,0.0%,3.20
"20-0130-1639 (Cable 5.5x2.1 barrel jack extension cable, 72in    )",10,0.00,0.0%,0.00
"20-0130-1719 (Update Cable for LCD firmware)",141,42.50,0.0%,0.30
"20-0130-1920 (Micro Molex Male to DC5525 Male Power Cable, 1.2M Cord)",995,1055.00,0.0%,1.06
"20-0130-1928 (Molex Power Cord 1.5M Extender, Male to Female)",735,2205.00,0.0%,3.00
"20-0130-1936 (Cable USB cable,  Male to 5pin 2.0, 1.2 meter)",52,0.00,0.0%,0.00
"20-0130-1939 (Cable 1M 3.5mm to 3.5mm cables)",250,250.00,0.0%,1.00
"20-0130-1960 (Cable 1M USB C to MicroUSB cables)",550,1650.00,0.0%,3.00
"20-0130-1989 (Cable USB A to Mini USB cable for 20-3002-2249)",150,750.00,0.0%,5.00
"20-0130-1992 (3 Way Splitter Molex in w/ two barrel and one female molex)",100,500.00,0.0%,5.00
"20-0130-2083 (Cable USB A to Mini USB 1.5m cable)",1,0.00,0.0%,0.00
"20-0150-0201 (Speaker 4ohm 3w on 350mm lead. 2 mounting holes)",470,1054.50,0.0%,2.24
"20-0150-0249 (Power Adapter Type A, 12V/3A, Mini Molex 4pin, Wallwart, 1.2m cord  )",7,140.00,0.0%,20.00
"20-0150-0338 (2.5"" speaker with mounting holes on 20"" lead 8ohm 2w for C300)",25,0.00,0.0%,0.00
"20-0150-0378 (2.5"" speaker 4ohm 3w on 350mm lead)",849,1230.00,0.0%,1.45
"20-0150-0466 (Power Adapter Type A, 24V/4A, Mini Molex 4pin, Brick, 3m cord, UL L...",647,18304.45,0.1%,28.29
"20-0150-0487 (Power Adapter Type A, 12V/4A, Mini Molex 4pin, Brick, 3m cord  )",505,10000.00,0.0%,19.80
"20-0150-0497 (Power Adapter Type A, 12V/2A, Mini Molex 4pin, Wallwart, 1.5m cord,...",151,2100.00,0.0%,13.91
"20-0150-0577 (Power Adapter,Type I,  1.5M, 2 plug)",155,0.00,0.0%,0.00
"20-0150-0578 (Power Adapter,Type F, 1.5M, 2 plug)",195,46.00,0.0%,0.24
"20-0150-0579 (Power Adapter,Type G, 1.5M, 2 plug)",157,0.00,0.0%,0.00
"20-0150-0581 (Power Adapter,Type F, 1.5M, 3 plug)",29,0.00,0.0%,0.00
"20-0150-0582 (Power Adapter,Type G, 1.5M, 3 plug)",6,0.00,0.0%,0.00
"20-0150-0603 (Power Adapter Type A, 12V/2A, Micro Molex 4pin, Wallwart, 1.5m cord...",1709,23965.00,0.1%,14.02
"20-0150-0641 (Power Adapter Type A, 12V/3A, Micro Molex 4pin, Wallwart, 1.8m cord...",78,860.00,0.0%,11.03
"20-0150-0642 (Power Adapter Type A, 12V/4A, Micro Molex 4pin, Brick, 3m cord, UL ...",208,1466.00,0.0%,7.05
"20-0150-0653 (Power Adapter Type A/F/C/I/G, 12V/3A, Micro Molex 4pin, Wallwart, 1...",279,2749.00,0.0%,9.85
"20-0150-0656 (Cable Mini HDMI to HDMI cable, 3m length)",153,825.00,0.0%,5.39
"20-0150-0657 (Cable Mini HDMI to Mini HDMI 10’ length (3M)    )",100,550.00,0.0%,5.50
"20-0150-0663 (mini-HDMI cable, 59 inches)",3,0.00,0.0%,0.00
"20-0150-0711 (Power Adapter 12V/2A DC5.5x2.1 4pin Wall wart 1.5m cord International)",1,0.00,0.0%,0.00
"20-0150-0742 (Power Adapter 12V/5A Type A to micro Molex brick power adapter, 3m ...",25,0.00,0.0%,0.00
"20-0150-0750 (Power Adapter Type A, 24V/6A, Mini Molex 4pin, Brick, 3m cord, UL L...",1,0.00,0.0%,0.00
"20-0150-0802 (Cable HDMI to mini HDMI Cable Length 1.5 m)",10,100.00,0.0%,10.00
"20-0150-0803 (Cable Mini HDMI Cable Length 1.5 m)",10,60.00,0.0%,6.00
"20-0150-0826 (Power Adapter Type A,  24V/12.5A Power Adapter for 20-3012-1026    )",5,425.00,0.0%,85.00
"20-0150-0858 (Cable 6' HDMI Cable for Bose 20-3002-2249)",287,861.00,0.0%,3.00
"20-0150-0866 (10W 4ohm Box Speaker, 2pin 2.0mm Connector, 350mm Cable)",6852,40632.00,0.2%,5.93
"20-0150-0875 (Power Adapter Type A, 12V/3A, Barrel ID 2.1mm OD 5.5mm, 1.5M Cord  )",15,210.00,0.0%,14.00
"20-0150-0880 (Power Adapter Type A, 24V/4A, Mini Molex 4pin, Brick, 0.5M AC/1.5M ...",738,13284.00,0.1%,18.00
"20-0150-0888 (Cable Mini HDMI to Mini HDMI 6’ length (1.83M)    )",50,275.00,0.0%,5.50
"20-0150-0912 (Cable DisplayPort to HDMI cable, 4K 60Hz, 1m)",100,1500.00,0.0%,15.00
"20-0160-0792 (Micro SD Card cover)",93,230.00,0.0%,2.47
"20-0160-1496 (Black 39.4"" LiveTry Bracket - Center Notch for , Direct/Corp stores)",648,1975.00,0.0%,3.05
"20-0160-2035 (Screw KM3*5mm Iron Black)",53,75.00,0.0%,1.42
"20-0160-2868 (Custom metal bracket for HP Mini G9R)",100,4500.00,0.0%,45.00
"20-0160-4801 (OVATION Sticker)",14,0.02,0.0%,0.00
"20-0160-5194 (Packaging for 32"" for 20-3008-1172)",36,0.00,0.0%,0.00
"20-0160-5195 (Packaging for 32"" for 20-3008-1172 - Partition 1)",36,0.00,0.0%,0.00
"20-0160-5196 (Packaging for 32"" for 20-3008-1172 - Partition 2)",18,0.00,0.0%,0.00
"20-0160-5197 (Packaging for 32"" for 20-3008-1172 - Box)",18,0.00,0.0%,0.00
"20-0160-7474 (White 39.4"" LiveTry Bracket - Center Notch for , Direct/Corp stores)",24,0.00,0.0%,0.00
"20-3000-0430 (R Series Core Board 2GB DDR 16GB eMMC)",2357,1070.80,0.0%,0.45
"20-3000-0431 (R Series Core Board 2GB DDR 32GB eMMC)",5,200.00,0.0%,40.00
"20-3000-0432 (R Series Core Board 4GB DDR 16GB eMMC)",21,90.00,0.0%,4.29
"20-3000-0433 (R Series Core Board 4GB DDR 32GB eMMC)",388,0.00,0.0%,0.00
"20-3000-0436 (R Series Core Board 4GB DDR 64GB eMMC)",1,0.00,0.0%,0.00
"20-3000-0458 (USB Camera Module, 5M Pixel Color CMOS Sensor)",6,120.00,0.0%,20.00
"20-3000-0499 (Wifi Module, Intel, Wi-Fi5, 3165)",2,0.00,0.0%,0.00
"20-3000-0519 (G1 Intel Celeron 4GB/64GB, no fan, audio out, MIC in, 2xUSB, Serial...",15,0.00,0.0%,0.00
"20-3000-0535 (Quectel 4G module EC25-AFXD mini PCIe (South Africa))",107,0.00,0.0%,0.00
"20-3000-0543 (G2 Galaxy Link Main AMP, PCB-012-G2)",70,22939.00,0.1%,327.70
"20-3000-0544 (G2 Galaxy Link Daughter Card, PCB-015-G)",70,2608.90,0.0%,37.27
"20-3000-0559 (Intel N97 board 16GB/128GB)",54,0.00,0.0%,0.00
"20-3000-0568 (Intel N97 board 8GB/128GB)",885,920.00,0.0%,1.04
"20-3000-0569 (Intel N97 board 4GB/128GB)",1,0.00,0.0%,0.00
"20-3000-0572 (Intel N97 board 8GB/64GB)",8,0.00,0.0%,0.00
"20-3000-0578 (Intel wifi5 9560 w/ 2x ANT)",558,13774.00,0.1%,24.68
"20-3000-0589 (Darko/Ecobee Board)",333,12987.00,0.1%,39.00
"20-3000-1060 (Motion sensor 610mm wire length)",11,19.00,0.0%,1.73
"20-3000-1158 (BUTTON White Metal LED Button Installation Size 16mm 610mm wire 3pi...",40,0.00,0.0%,0.00
"20-3000-1289 (BUTTON Metal Button with White LED Installation Size 16mm 610mm wir...",40,200.00,0.0%,5.00
"20-3000-1362 (LED Terminal box 12 connections)",3,507.00,0.0%,169.00
"20-3000-1363 (BUTTON Two 19mm metal buttons white LED ring GPIO assembly 36"" lead...",8,96.00,0.0%,12.00
"20-3000-1364 (BUTTON One 19mm metal button, white LED ring GPIO assembly 36' lead...",7,53.50,0.0%,7.64
"20-3000-1370 (BUTTON 19mm metal button White LED 3-pin for V, 36"" with in line co...",16,78.00,0.0%,4.88
"20-3000-1374 (BUTTON 19mm metal button White LED 3-pin for V 54""  in line connect...",90,605.00,0.0%,6.72
"20-3000-1378 (BUTTON 19mm metal button White LED 3-pin for V 54""  in line connect...",200,1300.00,0.0%,6.50
"20-3000-1382 (USB button box with 1.5m USB2.0 cable supports 10x4 pin push button...",11,217.00,0.0%,19.73
"20-3000-1393 (BUTTON 19mm one metal button, white LED ring, GPIO assembly, 244"" l...",156,2325.00,0.0%,14.90
"20-3000-1419 (BUTTON 19mm Metal Button White LED Ring 4 Pin 24"" Wire)",3217,17016.00,0.1%,5.29
"20-3000-1419C (BUTTON 19mm Metal Button White LED Ring 4 Pin with custom cable 64...",766,4787.50,0.0%,6.25
"20-3000-1442 (BUTTON 19mm Touchless Button 1 Button with GPIO Terminal 610mm Wire...",2,20.00,0.0%,10.00
"20-3000-1456 (BUTTON 19mm Touchless Button 3 Buttons with GPIO Terminal 610mm Wir...",3,93.00,0.0%,31.00
"20-3000-1462 (Audio board 3 outpu, standard push button compatible)",40,3360.00,0.0%,84.00
"20-3000-1486 (WiFi and Antenna for R Series)",2575,44100.00,0.2%,17.13
"20-3000-1488 (R Series 4K Media Player Box, 12V/2A, w/o Core Board)",2,0.00,0.0%,0.00
"20-3000-1501 (19mm (three pcs) Button with Full size 12-pin GPIO for BrightSign P...",3,0.00,0.0%,0.00
"20-3000-1503 (BUTTON 19mm Button with Full size 12-pin GPIO for BrightSign Purple...",615,5535.00,0.0%,9.00
"20-3000-1504 (BUTTON 19mm Contactless Button, 36” (915mm) Lead for V-Series)",1570,18840.00,0.1%,12.00
"20-3000-1506 (Button and LED control board with 12V/2A power supply and serial ca...",358,8269.00,0.0%,23.10
"20-3000-1507 (Power distribution Assembly, 12V 10A IN, w/ power supply)",10,680.00,0.0%,68.00
"20-3000-1510 (Quectel 4G module EC25-AFXD mini PCIe)",36,1357.00,0.0%,37.69
"20-3000-1520 (Installation kit for HP Mini G9R)",2300,54780.00,0.2%,23.82
"20-3000-1521 (Update Cable for Daisy Chain)",20,15.00,0.0%,0.75
"20-3000-1523 (Installation kit for HP, ziplock bag, 2x3M tape, 2xzip ties, 2xcabl...",1967,9520.55,0.0%,4.84
"20-3000-1524 (Enclosure for Intel Board)",16,3578.00,0.0%,223.63
"20-3000-1525 (Bluefin Proximity Sensor)",120,2560.50,0.0%,21.34
"20-3000-1526 (Bright Sign Built-In XT1144 Mounting Bracket)",10,0.00,0.0%,0.00
"20-3000-1527 (Ceiling Mount Kit for Dual FlexOS 46"" and Dual FlexOS 55"")",3,0.00,0.0%,0.00
"20-3000-1529 (Button and LED Control Box with Serial and USB C, 12V/3A 1.5M, 3.5m...",3767,128078.00,0.6%,34.00
"20-3000-1532 (Darko Sensor Control Box, MicroUSB/USB Type-C Cable 0.5M)",3922,117660.00,0.5%,30.00
"20-3000-1533 (Proximity Sensor, 5pin 1.5M, 2.0M Detection Range)",11766,151781.40,0.7%,12.90
"20-3000-1536 (Cable Cover for glass mount scheduling panel)",100,3500.00,0.0%,35.00
"20-3000-1539 (Packaging 39.4"" Wall Unit Packing Materials)",25,375.00,0.0%,15.00
"20-3000-1540 (Packaging 39.4"" Countertop Packing Materials)",25,500.00,0.0%,20.00
"20-3000-1541 (Intel Wifi Module, WIFI5, 6560)",6,0.00,0.0%,0.00
"20-3000-1542 (Power Adapter, Type-G power cord with waterproof connector for 55in...",1,0.00,0.0%,0.00
"20-3000-1547 (BUTTON Capacitive Touch Button, 36” lead w/ break in center)",8,24.00,0.0%,3.00
"20-3000-1548 (Power Adapter 480W power supply for 20-3018-0027)",1,0.00,0.0%,0.00
"20-3000-1549 (Power Adapter 185W power supply for 20-3018-0027)",1,0.00,0.0%,0.00
"20-3001-0222 (Semi-finished product, BF-HS144-UHDLH-1.2 post-welding, V Bye One, ...",1,0.00,0.0%,0.00
"20-3002-1005 (13.3"" Frameless V-Series 1920x1080)",2,406.00,0.0%,203.00
"20-3002-1008 (15.6"" Frameless V-Series Touch 1920x1080)",4,1088.00,0.0%,272.00
"20-3002-1034 (19.5"" Frameless V-Series 1920x1080)",1,246.00,0.0%,246.00
"20-3002-1036 (21.5"" Frameless V-Series 300nits CR3000:1 1920x1080)",2,640.00,0.0%,320.00
"20-3002-1104 (21"" UW Finished No Glass Daisy Chain 1920x132)",3,0.00,0.0%,0.00
"20-3002-1118 (22.9"" UW Finished Slim Gen 2 No Glass Daisy Chain 1920x165)",1,0.00,0.0%,0.00
"20-3002-1122 (29"" UW Finished V-Series Slim Gen2 No Glass Daisy chain 1920x540)",22,13188.00,0.1%,599.45
"20-3002-1126 (28"" UW Finished V-Series Slim Gen2 No Glass Daisy Chain 1920x360)",6,3850.00,0.0%,641.67
"20-3002-2008 (15.6"" Frameless V-Series Touch 1920x1080)",84,16213.00,0.1%,193.01
"20-3002-2033 (32"" Frameless V-Series V2.0 1920x1080)",108,24755.00,0.1%,229.21
"20-3002-2034 (19.5"" Frameless V-Series 1920x1080)",3,777.00,0.0%,259.00
"20-3002-2035 (19.5"" Frameless V-Series Touch 1920x1080)",67,15388.00,0.1%,229.67
"20-3002-2037 (21.5” Frameless V-Series Touch 1920x1080)",15,5327.00,0.0%,355.13
"20-3002-2042 (32"" FramelessV-Series Touch 1920x1080)",17,10191.00,0.0%,599.47
"20-3002-2044 (27"" Frameless V-Series Touch 1920x1080)",10,5860.00,0.0%,586.00
"20-3002-2052 (15.6"" Finished V-Series Touch 1920x1080)",10,3270.00,0.0%,327.00
"20-3002-2054 (21.5” Finished V-Series Touch 1920x1080)",1,389.00,0.0%,389.00
"20-3002-2057 (11.6"" Finished V-Series 1920x1080)",3,633.00,0.0%,211.00
"20-3002-2058 (13.3"" Finished V-Series Touch 1920x1080)",0,0.00,0.0%,0.00
"20-3002-2059 (13.3"" Finished V-Series 1920x1080)",109,19544.00,0.1%,179.30
"20-3002-2065 (23.8"" Finished V-Series 1920x1080)",12,5310.00,0.0%,442.50
"20-3002-2067 (27"" Finished V-Series 1920x1080)",1117,449590.00,2.0%,402.50
"20-3002-2071 (32"" Finished V-Series 1920x1080)",46,17034.00,0.1%,370.30
"20-3002-2080 (15.6"" Frameless V-Series Touch Symmetric Design 1920x1080)",50,20800.00,0.1%,416.00
"20-3002-2091 (10.1” Frameless V-Series Duco replacement  BBY Mount 245x106mm 1280...",168,21242.00,0.1%,126.44
"20-3002-2142 (18.5"" Frameless V-Series 500nits 1920x1080)",25,13209.00,0.1%,528.36
"20-3002-2202 (7” Frameless V-Series-Lite1024x600)",8,792.00,0.0%,99.00
"20-3002-2205 (21.9"" Finished V-Series Slim Gen2 No Glass DaisyChain Downlighting ...",1,0.00,0.0%,0.00
"20-3002-2213 (10.1"" Frameless C Series, no HDMI, 5V/2A power supply 1280x800)",5,540.00,0.0%,108.00
"20-3002-2232 (43"" Custom Frameless V-Series, Capacitive Touch, 1920 x 1080)",0,0.00,0.0%,0.00
"20-3002-2233 (43"" Custom Frameless V-Series 1920 x 1080)",100,30300.00,0.1%,303.00
"20-3002-2238 (21.5"" Frameless V-Series 500nits 1920x1080)",249,81921.00,0.4%,329.00
"20-3002-2239 (21.5"" Custom Frameless V-Series dual sided dual function 500nits - ...",59,38822.00,0.2%,658.00
"20-3002-2249 (6"" Frameless V-Series Touch, 720x1440)",203,20806.00,0.1%,102.49
"20-3002-2251 (11.9"" Custom Frameless V-Series Touch 1920 x 528)",125,30875.00,0.1%,247.00
"20-3002-2254 (10.1"" Finished V-Series Touch, White Housing 1280x800)",51,10404.00,0.0%,204.00
"20-3002-2257 (43"" Custom Frameless V-Series, Low Power, Harbor Unit, 1920x1080)",20,20317.00,0.1%,1015.85
"20-3002-2258 (43"" Finished V-Series 1920 x 1080)",120,47760.00,0.2%,398.00
"20-3002-2259 (19.1"" UW Finished V-Series Touch 1920x408)",2,0.00,0.0%,0.00
